IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
Unicommerce eSolutions Limited,-0.42987806923783806,1.446376798487922,1.3044184690450897,3.4836492337643943,2.4386670667022883,-0.7821322919813714,-0.481344043139027,2.976216648491442,-0.45371243874970985,-0.46131105542619233,-0.2633588058406426,2024,8
Ola Electric Mobility Limited,1.7931539707926438,-0.6654240621535727,-0.5280888411727361,-0.3632355391609282,-0.6185622233787702,-0.8805960884010489,-0.8512973754953331,-0.5655679975074464,-0.5235405976567519,-0.5301967355217394,-0.5044689045036183,2024,8
Ceigall India Limited,-0.06015868925025023,-0.2509451612228117,-0.4400100749026695,-0.36777089022544757,-0.44140983153943997,0.11942684398629991,-0.041752719061343584,-0.4715133463788576,-0.3519831745288058,-0.358297157379462,-0.46960589599572794,2024,8
Akums Drugs and Pharmaceuticals Limited,0.16865226369763572,0.676291142921262,-0.23637372593052708,0.1622604708480485,0.4858925938824168,0.9748310753822474,0.7077144564153626,-0.35300448595683587,-0.1651208360595699,-0.1705340019459504,-0.438753676077241,2024,8
Sanstar Limited,-0.3412520813376487,1.5560499097307698,0.454553634435911,0.25085099497499336,0.8478348623827516,-0.8221332092768654,-0.7782483472701837,-0.18903587748932957,-0.4855638796546764,-0.4925331587483448,-0.35880786121346164,2024,7
Emcure Pharmaceuticals Limited,0.20474582035636313,2.3497160755069313,-0.19160157435730685,-0.26376017247913686,0.5661793245688009,1.9871619823220557,2.1491175930974062,0.42075177732768715,0.5943307499671143,0.5917622199767683,-0.17539141379805667,2024,7
Bansal Wire Industries Limited,-0.25244806875879844,1.5619054726686996,-0.16859264539823784,-0.06934479018007356,0.4115668269592908,-0.3267372335403634,-0.18816305350142445,0.6110556881111985,-0.2535648709009336,-0.2609878547156441,-0.15580025414981746,2024,7
Vraj Iron & Steel Limited,-0.46986544227238364,1.8443968198093672,0.9844184920888662,1.1790861795132894,1.5193746863373105,-0.4775099218079944,-0.45732265930964544,-0.06551076900711642,-0.42254802216779747,-0.42957562131486643,-0.40558753966486744,2024,7
Allied Blenders and Distillers Limited,0.03352774483485456,0.04768854861160831,-0.308258309716663,-0.3453964916404854,-0.2594141566424625,-0.24981239258749038,-0.269715651602175,-0.15141401703789412,-0.14711748783495912,-0.15505128298216758,-0.02838058588646636,2024,7
Stanley Lifestyles Limited,-0.3312258829458289,-0.737748177359895,-0.48075200006586183,-0.29701941361894557,-0.6008656122065974,0.020963047566622497,0.16483118187133824,0.5392606377497089,-0.2944552342248771,-0.29981884505796574,-0.37635506129210106,2024,6
